Team,ATS Record,Cover %,MOV,ATS +/-
Murray St,111-112-3,49.8%,6.8,+0.7
Bradley,283-286-17,49.7%,0.4,+0.5
Vanderbilt,264-267-12,49.7%,0.7,+0.3
Notre Dame,211-214-13,49.7%,4.0,+0.1
Nebraska,249-253-11,49.6%,-1.2,-0.2
St Johns,239-243-8,49.6%,0.1,-0.2
Gard-Webb,61-62-1,49.6%,1.2,-0.5
Rutgers,232-236-9,49.6%,-1.9,+0.1
VA Tech,227-231-3,49.6%,1.8,+0.4
Syracuse,209-213-5,49.5%,6.1,-0.1
Evansville,249-254-15,49.5%,-2.8,-0.7
N Mex State,92-94-10,49.5%,4.9,+0.7
Yale,45-46-4,49.5%,1.5,+0.3
Missouri St,255-261-14,49.4%,1.7,-0.3
IU Indy,77-79-1,49.4%,-3.2,-0.5
Duquesne,246-253-5,49.3%,-2.4,-0.4
Colorado,212-218-6,49.3%,1.0,-0.2
Colorado St,204-210-10,49.3%,1.8,+0.2
Detroit,137-141-8,49.3%,-0.9,-0.5
S Carolina,265-273-5,49.3%,-0.7,-0.3
U Mass,253-261-6,49.2%,-0.3,-0.4
Indiana,245-253-9,49.2%,3.8,+0.1
Purdue,246-254-13,49.2%,5.8,+0.5
Albany,60-62-4,49.2%,0.2,-0.2
Princeton,88-91-2,49.2%,2.2,-0.1
Idaho,83-86-1,49.1%,-3.0,+0.7
Wm & Mary,164-170-8,49.1%,-2.2,0.0
Miss Val St,26-27-1,49.1%,-15.4,-2.1
WI-Grn Bay,121-126-6,49.0%,-0.3,-0.4
Wright St,142-148-7,49.0%,0.9,-0.9
Alabama,254-265-10,48.9%,3.8,0.0
Kentucky,278-290-10,48.9%,9.3,+0.4
Towson,133-139-6,48.9%,-3.4,-0.5
Arkansas St,85-89-4,48.9%,-0.6,-0.5
Charl South,63-66-2,48.8%,-2.2,+0.3
Radford,60-63-5,48.8%,1.0,+0.7
Arizona St,120-126-3,48.8%,3.2,-0.2
Lehigh,78-82-0,48.8%,0.0,+0.4
W Carolina,116-122-5,48.7%,-2.4,-0.9
AR Lit Rock,96-101-4,48.7%,0.6,-0.2
Geo Wshgtn,229-241-9,48.7%,0.7,0.0
W Michigan,245-258-13,48.7%,-0.2,-0.1
E Michigan,248-262-5,48.6%,-2.7,-0.3
Coastal Car,35-37-2,48.6%,1.1,-0.4
W Virginia,225-238-3,48.6%,3.4,-0.4
VMI,87-92-3,48.6%,-2.4,-0.6
Bowling Grn,251-266-8,48.6%,-0.5,-0.7
TN State,82-87-4,48.5%,-3.3,-1.1
Geo Mason,217-231-7,48.4%,2.0,0.0
UCSB,91-97-4,48.4%,1.9,-0.8
Troy,60-64-1,48.4%,1.9,+0.2
Quinnipiac,60-64-2,48.4%,0.5,-0.3
UL Monroe,55-59-3,48.3%,-3.1,-0.4
Seton Hall,207-222-5,48.3%,1.2,-0.2
Kennesaw St,41-44-2,48.2%,-6.5,-1.6
Washington,123-132-3,48.2%,2.1,-0.1
California,135-145-3,48.2%,0.4,-0.6
Mass Lowell,53-57-1,48.2%,0.4,+0.3
Tulane,210-226-11,48.2%,-2.0,-0.7
La Salle,244-263-13,48.1%,-1.8,-0.2
Cleveland St,127-137-7,48.1%,-0.7,-0.8
NC State,238-257-16,48.1%,2.2,-0.2
Winthrop,62-67-2,48.1%,5.4,+0.3
E Washingtn,73-79-4,48.0%,-0.6,-0.4
Binghamton,60-65-2,48.0%,-4.0,0.0
Rider,118-128-3,48.0%,0.7,0.0
Southern,23-25-0,47.9%,-4.7,-2.1
Central Conn,34-37-0,47.9%,-1.3,-0.3
Charlotte,179-195-10,47.9%,1.1,-0.2
Boston U,88-96-4,47.8%,2.2,-0.7
Illinois St,252-275-10,47.8%,1.2,0.0
Bellarmine,21-23-2,47.7%,-1.5,-0.7
James Mad,160-176-6,47.6%,-0.9,-0.8
St Peters,110-121-6,47.6%,-2.6,-0.2
Texas Tech,233-257-6,47.6%,1.6,-0.8
Rhode Island,242-267-11,47.5%,0.2,-0.6
USC,135-149-2,47.5%,2.2,-0.6
Morgan St,29-32-0,47.5%,-3.9,-2.8
Arkansas,250-276-8,47.5%,2.9,-0.4
Oral Roberts,56-62-4,47.5%,3.6,+0.2
Central Mich,233-259-24,47.4%,-2.9,-0.7
Wash State,116-129-5,47.4%,0.8,-0.5
E Kentucky,95-106-6,47.3%,3.7,-0.3
Abl Christian,43-48-1,47.3%,5.9,+1.1
Elon,85-95-2,47.2%,-4.2,-1.1
Citadel,102-114-5,47.2%,-3.8,-0.7
Georgetown,203-227-10,47.2%,2.2,-0.5
Old Dominion,156-175-8,47.1%,3.2,0.0
Lamar,49-55-2,47.1%,0.9,-0.3
Ste F Austin,49-55-3,47.1%,6.5,-0.2
San Jose St,153-172-5,47.1%,-7.4,-1.2
Minnesota,232-261-12,47.1%,0.6,-0.8
S Utah,40-45-1,47.1%,-0.9,-1.0
Air Force,171-193-5,47.0%,-1.4,-0.3
Col Charlestn,93-105-3,47.0%,3.5,-0.9
Fordham,223-252-11,47.0%,-5.8,-0.6
San Francisco,84-95-4,46.9%,3.8,+0.4
St Fran (PA),38-43-2,46.9%,-4.3,-1.3
Cal Poly,76-86-4,46.9%,-2.6,+0.2
TN Martin,67-76-1,46.9%,-2.1,-0.6
Iona,103-117-5,46.8%,3.4,-0.1
Hsn Christian,44-50-2,46.8%,-6.6,-2.0
Delaware,121-138-11,46.7%,-1.4,-1.2
Canisius,99-113-6,46.7%,-2.9,-1.3
Missouri,226-258-13,46.7%,1.7,-0.5
WI-Milwkee,119-136-1,46.7%,0.5,-1.1
Cal St Nrdge,97-111-3,46.6%,-1.2,-1.3
Pacific,90-103-3,46.6%,2.0,-0.9
Marshall,173-198-10,46.6%,0.4,-0.6
Presbyterian,60-69-3,46.5%,-5.1,-1.9
McNeese St,40-46-2,46.5%,0.0,-0.8
Stonehill,13-15-0,46.4%,-6.2,-0.4
Pepperdine,84-97-1,46.4%,0.0,-0.9
Wake Forest,238-275-13,46.4%,0.2,-0.6
Dartmouth,45-52-5,46.4%,-3.6,-0.3
Alab A&M,19-22-1,46.3%,-5.7,-0.1
Oregon St,99-115-3,46.3%,0.3,-0.6
S Methodist,177-206-11,46.2%,1.9,-0.9
Merrimack,18-21-2,46.2%,-1.7,-1.5
DePaul,225-263-7,46.1%,-4.4,-0.7
W Illinois,47-55-3,46.1%,0.2,-0.2
N Dakota St,41-48-3,46.1%,4.0,-0.7
Incar Word,35-41-1,46.1%,-4.3,-0.8
Ball St,248-291-8,46.0%,0.5,-0.8
Louisiana,80-94-4,46.0%,1.9,-1.0
Samford,95-112-4,45.9%,0.3,-0.5
TN Tech,75-89-9,45.7%,-0.3,-1.4
Montana St,64-76-4,45.7%,-2.3,-1.9
Holy Cross,74-88-0,45.7%,-0.6,-0.4
LSU,238-283-12,45.7%,1.1,-0.7
Brown,47-56-4,45.6%,-2.1,-0.6
Rice,130-155-3,45.6%,-2.5,-0.3
North Dakota,41-49-2,45.6%,-4.5,-1.1
Loyola-MD,125-150-2,45.5%,-4.1,-0.8
TX Christian,210-252-9,45.5%,-0.4,-0.6
Idaho St,58-70-3,45.3%,-2.9,-0.6
Liberty,48-58-1,45.3%,0.8,-0.7
Alabama St,19-23-0,45.2%,-4.8,-2.9
E Carolina,197-239-16,45.2%,-3.6,-1.1
Loyola Mymt,89-108-6,45.2%,-2.6,-0.6
Fla Gulf Cst,45-55-2,45.0%,0.3,-1.3
Bryant,36-44-1,45.0%,-3.0,-0.9
Nicholls,40-49-2,44.9%,-1.6,-0.5
Morehead St,89-110-1,44.7%,2.2,-0.6
Texas St,37-46-2,44.6%,1.1,-0.6
UTSA,48-60-2,44.4%,-1.7,-1.3
LIU,20-25-1,44.4%,-5.1,-1.4
W Georgia,4-5-0,44.4%,-5.0,+0.4
Beth-Cook,15-19-3,44.1%,-5.5,-2.2
SIU Edward,45-58-2,43.7%,-5.6,-0.7
Grd Canyon,27-35-0,43.6%,8.0,0.0
Hawaii,50-65-2,43.5%,3.6,-0.9
Hampton,36-48-1,42.9%,-3.1,-1.2
S Indiana,12-16-1,42.9%,-3.6,-1.6
Alcorn St,14-19-3,42.4%,-7.6,-1.6
Santa Clara,75-102-4,42.4%,1.4,-1.5
Sac State,56-77-6,42.1%,-4.8,-2.0
E Illinois,75-106-2,41.4%,-2.1,-1.3
Ark Pine Bl,21-31-2,40.4%,-14.9,-0.8
Lindenwood,6-9-0,40.0%,0.7,-1.1
CS Bakersfld,21-32-1,39.6%,-0.9,-0.3
Howard,23-37-2,38.3%,-7.0,-1.5
Sacred Hrt,27-49-1,35.5%,-4.1,-3.4
