Team,ATS Record,Cover %,MOV,ATS +/-
Wofford,93-97-3,49.0%,4.5,+0.3
Kentucky,129-135-5,48.9%,10.7,+0.1
La Salle,63-66-2,48.8%,-2.0,+0.1
Lamar,41-43-1,48.8%,1.4,+0.6
Washington,82-86-1,48.8%,1.7,-0.3
Florida St,101-106-2,48.8%,4.9,+0.1
Florida Intl,60-63-4,48.8%,-1.9,-1.2
E Carolina,60-63-2,48.8%,-2.7,-1.1
UC Davis,79-83-4,48.8%,0.7,-0.3
Pittsburgh,79-83-6,48.8%,4.0,+0.1
Fla Gulf Cst,58-61-1,48.7%,3.5,-0.2
High Point,57-60-1,48.7%,1.2,-1.7
Colorado St,94-99-1,48.7%,4.5,+0.7
Bradley,83-88-2,48.5%,2.0,-0.4
Maine,31-33-2,48.4%,-7.2,-2.3
St Fran (PA),45-48-3,48.4%,-0.7,-1.9
S Mississippi,59-63-1,48.4%,-2.4,-1.1
W Virginia,100-107-1,48.3%,6.7,+0.1
Troy,70-75-2,48.3%,1.8,+0.5
Indiana,97-104-4,48.3%,4.7,-0.7
Oklahoma,95-102-3,48.2%,4.9,+0.2
Denver,54-58-5,48.2%,-3.0,-1.0
W Illinois,51-55-1,48.1%,-0.5,-1.3
Wyoming,76-82-4,48.1%,-0.4,-0.8
Dayton,111-120-2,48.1%,6.5,+0.4
U Penn,60-65-2,48.0%,0.5,-1.2
Sac State,58-63-3,47.9%,-1.5,-0.5
Missouri,68-74-4,47.9%,1.4,-0.6
N Dakota St,87-95-3,47.8%,3.7,+0.1
Hawaii,86-94-2,47.8%,2.4,+0.2
CS Bakersfld,53-58-1,47.8%,1.0,0.0
Army,51-56-2,47.7%,-1.5,-1.0
Rhode Island,87-96-1,47.5%,3.3,0.0
Idaho St,48-53-0,47.5%,-2.2,-0.3
Chicago St,19-21-0,47.5%,-7.2,+0.2
Cal Poly,38-42-1,47.5%,-4.6,-0.5
James Mad,76-84-3,47.5%,2.3,-0.4
Northeastrn,76-84-5,47.5%,1.9,-0.2
Wake Forest,73-81-1,47.4%,1.3,-0.2
Le Moyne,9-10-0,47.4%,-4.3,+0.2
Maryland,101-113-6,47.2%,6.3,-0.2
Geo Wshgtn,75-84-1,47.2%,0.8,+0.2
UNLV,81-91-3,47.1%,2.8,-0.6
Valparaiso,79-89-4,47.0%,2.6,-0.6
Ste F Austin,63-71-4,47.0%,8.9,0.0
Alabama,102-115-4,47.0%,4.0,+0.1
Notre Dame,86-97-5,47.0%,4.9,-0.7
