Team,ATS Record,Cover %,MOV,ATS +/-
Loyola Mymt,37-36-2,50.7%,1.3,+0.2
NW State,40-39-0,50.6%,-6.6,+0.3
Middle Tenn,41-40-2,50.6%,2.2,-0.3
SE Missouri St,41-40-0,50.6%,-3.0,0.0
Fairfield,50-49-1,50.5%,0.4,-0.5
Rutgers,99-97-5,50.5%,-1.6,-0.1
C Arkansas,53-52-3,50.5%,-3.0,-0.2
Miami OH,108-106-6,50.5%,-0.6,+0.2
VMI,70-69-2,50.4%,-3.7,+0.1
Lafayette,72-71-2,50.4%,-4.5,-0.7
Navy,81-80-2,50.3%,1.8,+0.3
North Carolina,84-83-5,50.3%,8.4,+0.5
Loyola Chi,103-102-1,50.2%,4.1,-0.5
Oregon St,54-54-1,50.0%,0.8,-0.4
Indiana,102-102-4,50.0%,4.0,-0.2
UC Davis,31-31-3,50.0%,1.8,-0.1
W Illinois,39-39-3,50.0%,2.0,+0.5
N Illinois,104-104-3,50.0%,-2.6,-0.3
Campbell,49-49-1,50.0%,3.2,+0.4
NC A&T,41-41-1,50.0%,-4.8,0.0
Delaware St,29-29-1,50.0%,-10.2,+0.7
Illinois St,102-102-3,50.0%,1.5,+0.6
Weber St,30-30-1,50.0%,5.6,+0.3
New Orleans,39-39-1,50.0%,-1.7,+0.2
Colorado,70-70-2,50.0%,3.7,0.0
Nebraska,93-93-2,50.0%,-2.1,-0.6
Pittsburgh,107-107-7,50.0%,0.6,-0.1
UTEP,29-29-0,50.0%,1.7,-1.0
Liberty,44-44-1,50.0%,8.3,0.0
Radford,59-59-5,50.0%,1.6,+0.8
UT Rio Grande,29-29-1,50.0%,-1.2,0.0
Stonehill,17-17-0,50.0%,-6.8,-0.1
Lindenwood,11-11-1,50.0%,1.7,+0.1
Merrimack,23-23-2,50.0%,-1.1,-0.7
Marquette,109-110-4,49.8%,4.4,+0.1
Wyoming,102-103-2,49.8%,-1.6,+0.3
Maryland,100-101-6,49.8%,4.6,+0.4
Virginia Tech,94-95-1,49.7%,5.1,+0.5
San Jose St,93-94-2,49.7%,-8.1,-0.9
Presbyterian,61-62-3,49.6%,-3.5,-0.8
Mississippi,119-121-3,49.6%,1.3,-0.9
Georgia,112-114-0,49.6%,-1.8,-0.5
Albany,55-56-4,49.6%,1.4,-0.3
Monmouth,51-52-1,49.5%,-0.7,+0.5
N Iowa,98-100-2,49.5%,2.4,-0.5
Syracuse,94-96-3,49.5%,2.2,+0.3
Tulane,81-83-5,49.4%,-1.5,+0.2
Kennesaw St,39-40-2,49.4%,-4.4,-1.2
Seattle,36-37-1,49.3%,5.6,+0.4
Akron,100-103-3,49.3%,5.8,+0.4
Duquesne,99-102-2,49.3%,0.3,-0.7
Oklahoma,99-102-4,49.3%,3.5,+0.4
Butler,97-100-6,49.2%,1.7,-0.5
Georgia So,32-33-3,49.2%,4.2,+1.0
Seton Hall,95-98-2,49.2%,3.1,+0.2
S Utah,31-32-1,49.2%,4.7,-0.7
Miami,94-97-5,49.2%,1.6,-1.2
Coastal Car,31-32-2,49.2%,3.4,+0.1
Notre Dame,91-94-8,49.2%,2.2,-0.7
Wisconsin,102-106-5,49.0%,4.4,-0.3
George Mason,101-105-2,49.0%,1.6,+0.5
SF Austin,49-51-3,49.0%,7.0,0.0
Bellarmine,24-25-2,49.0%,-0.7,+0.2
