Team,ATS Record,Cover %,MOV,ATS +/-
Rice,79-78-3,50.3%,-2.2,+0.1
Marquette,106-105-6,50.2%,4.7,-0.5
UConn,117-116-2,50.2%,9.4,+0.3
Wisconsin,138-137-6,50.2%,6.9,+0.7
Virginia,110-110-4,50.0%,5.6,-0.2
CS Northridge,65-65-4,50.0%,-3.5,-1.3
C Connecticut,21-21-0,50.0%,-2.7,-1.3
St Francis PA,19-19-1,50.0%,-6.6,-2.5
Rhode Island,102-102-3,50.0%,0.9,+0.2
Charleston,65-65-1,50.0%,4.0,+0.1
Morgan St,35-35-0,50.0%,-6.4,-2.3
Saint Mary's,78-78-2,50.0%,6.9,+0.5
Butler,109-109-4,50.0%,3.4,-0.3
Texas St,33-33-2,50.0%,-3.5,+0.1
New Haven,2-2-0,50.0%,-19.6,-4.1
Texas,91-92-4,49.7%,7.4,-0.2
Stanford,90-91-4,49.7%,4.9,+0.3
Drake,82-83-3,49.7%,-0.4,+0.4
Hawai'i,75-76-3,49.7%,3.5,+0.4
Tennessee St,66-67-2,49.6%,-7.3,-1.5
Cornell,56-57-2,49.6%,-3.4,-0.1
Saint Joseph's,106-108-4,49.5%,2.3,+0.9
UMass,104-106-3,49.5%,0.2,-0.1
San Diego St,98-100-8,49.5%,3.6,-0.5
Utah,78-80-4,49.4%,5.1,-0.6
Old Dominion,71-73-4,49.3%,2.7,-0.2
American,35-36-0,49.3%,-4.3,-2.0
Coppin St,35-36-2,49.3%,-13.6,-1.2
Iona,103-106-4,49.3%,3.8,+0.5
Rutgers,126-130-6,49.2%,-1.3,-0.6
NC A&T,30-31-0,49.2%,-8.7,+0.7
Cal Baptist,30-31-1,49.2%,-0.1,+1.4
Grambling,27-28-1,49.1%,-11.3,0.0
Lamar,27-28-1,49.1%,-2.8,-0.3
Niagara,79-82-5,49.1%,-1.8,-0.3
Tennessee,104-108-4,49.1%,7.4,+0.7
San Diego,76-79-2,49.0%,-1.6,+0.3
Mississippi,76-79-3,49.0%,5.0,-0.9
Indiana,125-130-3,49.0%,3.0,-0.7
Stetson,25-26-1,49.0%,-7.2,-1.0
Alcorn St,24-25-2,49.0%,-11.1,-0.5
Texas A&M,72-75-3,49.0%,3.0,-0.4
Colorado St,95-99-4,49.0%,2.2,0.0
Kennesaw St,23-24-1,48.9%,-10.2,-1.1
Campbell,22-23-1,48.9%,-4.0,+1.0
Ball St,65-68-2,48.9%,-1.1,0.0
UT Martin,62-65-3,48.8%,-4.8,-0.9
Cincinnati,121-127-6,48.8%,8.3,+0.7
St John's,117-123-5,48.8%,1.2,-0.6
App State,76-80-3,48.7%,-1.5,-0.8
Georgetown,95-100-6,48.7%,3.9,-0.1
St Bonaventure,94-99-5,48.7%,0.6,-0.3
Oral Roberts,55-58-2,48.7%,0.8,+1.0
Duquesne,90-95-3,48.7%,-1.9,-0.3
S Carolina St,34-36-2,48.6%,-8.3,-0.3
Wake Forest,118-125-3,48.6%,2.1,-0.5
Davidson,83-88-3,48.5%,3.9,-0.4
Air Force,80-85-2,48.5%,-1.2,+0.4
Fordham,108-115-2,48.4%,-4.6,+0.1
Ohio,76-81-1,48.4%,0.2,-1.1
West Virginia,101-108-0,48.3%,1.8,-0.3
Arizona St,72-77-4,48.3%,4.7,0.0
Murray St,57-61-2,48.3%,6.2,+1.6
Marist,83-89-3,48.3%,-2.8,-0.1
Tenn Tech,55-59-6,48.3%,-2.9,0.0
Syracuse,110-118-5,48.3%,7.0,+0.3
E Illinois,53-57-0,48.2%,-4.2,+0.4
