Team,Over Record,Over %,Under %,Total +/-
Butler,75-87-4,46.3%,53.7%,-1.5
Cincinnati,93-108-4,46.3%,53.7%,-0.2
Fordham,60-70-3,46.2%,53.9%,-0.3
Louisiana,53-62-0,46.1%,53.9%,-0.6
S Florida,94-110-1,46.1%,53.9%,-1.5
Coastal Car,29-34-0,46.0%,54.0%,-0.7
NC Central,23-27-0,46.0%,54.0%,-1.0
LSU,68-80-2,46.0%,54.1%,+0.4
Canisius,61-72-3,45.9%,54.1%,-0.6
New Orleans,33-39-0,45.8%,54.2%,+2.8
Arizona St,66-78-1,45.8%,54.2%,-1.1
Rutgers,97-115-2,45.8%,54.3%,-0.8
Cal Baptist,16-19-0,45.7%,54.3%,-1.3
Wright St,62-74-2,45.6%,54.4%,-1.1
Marshall,46-55-1,45.5%,54.5%,+1.0
Clemson,97-116-3,45.5%,54.5%,-1.5
Navy,20-24-0,45.5%,54.6%,-4.7
Siena,70-84-2,45.5%,54.6%,-1.0
Drexel,50-60-0,45.5%,54.6%,-0.6
Saint Peter's,74-89-2,45.4%,54.6%,-1.2
Oklahoma,88-106-3,45.4%,54.6%,-0.6
Nicholls,19-23-0,45.2%,54.8%,+1.6
Creighton,95-115-5,45.2%,54.8%,-0.5
UTEP,51-62-1,45.1%,54.9%,-0.8
SE Louisiana,23-28-1,45.1%,54.9%,-1.5
Bethune,18-22-0,45.0%,55.0%,-0.1
NC Greensboro,58-71-2,45.0%,55.0%,-1.9
Detroit Mercy,56-69-3,44.8%,55.2%,-0.7
Saint Louis,71-88-3,44.7%,55.4%,-0.4
S Indiana,8-10-0,44.4%,55.6%,+2.0
Albany,22-28-2,44.0%,56.0%,-0.6
Middle Tenn,55-70-3,44.0%,56.0%,-1.5
Hawai'i,58-74-1,43.9%,56.1%,+1.8
VCU,76-97-2,43.9%,56.1%,-1.8
SC Upstate,25-32-0,43.9%,56.1%,-0.9
UC Riverside,50-64-2,43.9%,56.1%,-0.4
Quinnipiac,39-50-0,43.8%,56.2%,+1.2
Sam Houston,21-27-0,43.8%,56.3%,-1.9
Rice,38-49-0,43.7%,56.3%,+1.4
Vermont,24-31-0,43.6%,56.4%,+1.3
Virginia Tech,82-106-5,43.6%,56.4%,-1.8
Kennesaw St,20-26-2,43.5%,56.5%,-0.7
Southern Miss,51-67-2,43.2%,56.8%,-2.0
Georgia St,47-62-2,43.1%,56.9%,-0.8
E Tennessee St,34-45-1,43.0%,57.0%,+0.4
Illinois,95-126-2,43.0%,57.0%,-1.5
American,24-32-0,42.9%,57.1%,-1.7
Elon,45-60-0,42.9%,57.1%,-0.1
Mississippi,71-95-6,42.8%,57.2%,-0.4
Memphis,76-102-2,42.7%,57.3%,-1.3
FGCU,20-27-1,42.6%,57.5%,-1.6
Stanford,54-74-1,42.2%,57.8%,-1.5
CS Fullerton,54-75-0,41.9%,58.1%,-1.0
Wagner,18-25-2,41.9%,58.1%,-2.6
Grambling,22-31-1,41.5%,58.5%,-3.3
Fresno St,66-93-0,41.5%,58.5%,-1.8
Kansas St,65-92-4,41.4%,58.6%,-2.0
F Dickinson,19-27-1,41.3%,58.7%,-2.2
Southern,19-27-0,41.3%,58.7%,-2.1
Holy Cross,21-30-0,41.2%,58.8%,-2.3
App State,49-70-5,41.2%,58.8%,-1.3
Fairfield,66-95-2,41.0%,59.0%,-2.4
Nebraska,73-106-1,40.8%,59.2%,-1.8
Lamar,22-32-1,40.7%,59.3%,-3.4
Coppin St,22-32-0,40.7%,59.3%,-3.0
Old Dominion,53-78-2,40.5%,59.5%,-2.4
Monmouth,38-56-1,40.4%,59.6%,-0.8
San Diego St,63-94-3,40.1%,59.9%,-2.4
Binghamton,18-27-1,40.0%,60.0%,-4.2
E Texas A&M,4-6-0,40.0%,60.0%,-0.5
Le Moyne,4-6-0,40.0%,60.0%,-2.1
Texas A&M,63-96-1,39.6%,60.4%,-2.3
New Hampshire,19-29-1,39.6%,60.4%,-2.1
Bryant,19-29-1,39.6%,60.4%,-2.2
Washington St,55-84-3,39.6%,60.4%,-0.9
Chattanooga,45-69-0,39.5%,60.5%,-2.6
SIU Edward,24-37-0,39.3%,60.7%,-1.3
Morehead St,46-71-0,39.3%,60.7%,-2.8
Norfolk St,24-38-1,38.7%,61.3%,-2.7
Texas St,24-38-0,38.7%,61.3%,-3.9
Maryland ES,15-24-1,38.5%,61.5%,-3.7
Dartmouth,28-45-0,38.4%,61.6%,-1.5
Sacramento St,42-68-1,38.2%,61.8%,-3.7
C Connecticut,19-31-0,38.0%,62.0%,-2.6
N Kentucky,25-42-0,37.3%,62.7%,-2.9
Florida A&M,20-34-1,37.0%,63.0%,+0.7
Alabama St,16-28-1,36.4%,63.6%,-4.8
Stonehill,5-10-0,33.3%,66.7%,-6.8
UT Arlington,20-43-0,31.8%,68.3%,-5.7
Merrimack,7-23-0,23.3%,76.7%,-4.0
