Team,ATS Record,Cover %,MOV,ATS +/-
Chattanooga,87-91-6,48.9%,7.4,-0.1
Kentucky,148-155-5,48.8%,12.7,-0.1
TN Tech,39-41-3,48.8%,3.3,-1.6
Lafayette,36-38-0,48.7%,2.6,-2.1
Oakland,90-95-3,48.7%,5.7,-1.2
Dayton,124-131-4,48.6%,9.7,+0.1
Col Charlestn,105-111-5,48.6%,7.4,-0.5
Rhode Island,100-106-1,48.5%,7.3,-0.4
N Colorado,81-86-4,48.5%,5.7,-0.6
Penn St,78-83-5,48.5%,8.8,-0.2
Pittsburgh,78-83-1,48.5%,9.9,-0.1
St Peters,77-82-1,48.4%,4.6,-0.5
Mississippi,92-98-4,48.4%,7.3,-2.3
Seton Hall,91-97-5,48.4%,8.9,0.0
Idaho St,30-32-1,48.4%,4.6,+0.6
Maryland,104-111-5,48.4%,10.7,-0.3
UNLV,89-95-3,48.4%,7.9,-0.3
TN State,59-63-1,48.4%,4.5,-0.6
Wash State,72-77-1,48.3%,9.5,+0.5
Cincinnati,128-137-5,48.3%,11.8,+0.6
High Point,56-60-0,48.3%,6.2,-0.8
Jackson St,41-44-0,48.2%,6.2,-0.5
S Car State,27-29-0,48.2%,5.8,+0.2
Oklahoma St,79-85-4,48.2%,8.4,-0.6
TX Christian,90-97-3,48.1%,9.9,0.0
San Francisco,103-111-4,48.1%,10.0,+0.9
Richmond,88-95-5,48.1%,6.8,-0.5
CS Fullerton,49-53-2,48.0%,4.9,-0.1
N Kentucky,86-93-2,48.0%,7.0,-0.4
Fresno St,73-79-3,48.0%,7.9,-0.3
Northeastrn,85-92-3,48.0%,6.1,+0.1
Rutgers,60-65-5,48.0%,9.2,-0.6
Rice,48-52-3,48.0%,6.2,-0.5
TX El Paso,72-78-2,48.0%,5.3,-1.1
Kansas St,84-91-4,48.0%,7.9,-0.8
Jksnville St,69-75-2,47.9%,5.7,-0.8
Montana St,68-74-4,47.9%,5.7,-0.2
Mass Lowell,55-60-3,47.8%,6.1,-1.2
NC-Grnsboro,96-105-3,47.8%,8.6,+0.2
Rider,73-80-2,47.7%,5.3,-0.3
Wagner,51-56-1,47.7%,4.9,-1.9
CS Bakersfld,40-44-1,47.6%,7.2,+0.7
Youngs St,60-66-3,47.6%,5.5,-0.6
Missouri St,79-87-5,47.6%,6.2,-0.7
Iona,113-125-5,47.5%,6.7,-0.5
Geo Mason,74-82-3,47.4%,6.5,-0.4
Santa Clara,72-80-2,47.4%,8.4,+0.3
Charlotte,63-70-2,47.4%,5.7,-0.5
Georgia,72-80-2,47.4%,8.4,-0.6
Boston Col,44-49-0,47.3%,7.5,-1.5
Prairie View,43-48-5,47.3%,7.4,-0.3
Boston U,60-67-3,47.2%,3.5,-1.8
Cleveland St,59-66-5,47.2%,6.6,0.0
Evansville,49-55-3,47.1%,5.4,-0.3
S Utah,57-64-1,47.1%,5.2,-0.4
N Hampshire,39-44-3,47.0%,3.4,-2.1
Beth-Cook,31-35-1,47.0%,3.6,-1.0
Winthrop,75-85-2,46.9%,8.2,-0.3
Neb Omaha,49-56-0,46.7%,4.3,-0.5
Grambling St,41-47-1,46.6%,5.4,-0.9
U Mass,68-78-5,46.6%,5.0,-1.7
UTSA,40-46-2,46.5%,3.1,-1.8
Wyoming,59-68-3,46.5%,7.3,-0.4
